docidx	widx
0	369
0	6007
0	2487
0	4569
0	4569
0	1167
0	4851
0	6585
0	3330
1	5505
1	491
1	2495
1	547
1	1929
1	4957
1	491
1	3384
1	3384
1	811
1	3812
2	5869
2	409
2	3860
2	3390
2	3390
2	3390
2	5692
2	4810
2	2159
3	4996
3	6673
3	4996
3	4641
3	1111
4	2743
4	6593
4	6412
4	2364
4	573
4	6356
4	6595
4	6356
4	6356
5	3749
5	1237
5	2403
5	2403
5	3876
5	668
5	1331
5	5509
5	4029
5	4
6	5456
6	5456
6	5476
6	5469
6	243
6	6510
7	2350
7	4046
7	3595
7	2289
7	1089
7	5829
7	2294
7	2289
7	1191
7	1985
7	2350
8	1329
8	5224
8	3144
8	5805
8	4113
8	6273
8	6611
8	763
8	1493
9	6246
9	5141
9	3180
9	4097
9	5141
9	3286
9	2763
10	2793
10	256
10	3444
10	1838
10	2289
11	1717
11	1146
11	462
11	6593
11	3180
11	4872
11	5558
12	1413
12	1985
12	1413
12	2289
12	1146
13	5714
13	386
14	5718
14	4188
14	4069
14	3549
14	4069
14	1539
16	3850
16	4859
16	4088
16	3850
16	1676
16	3748
17	5628
17	412
17	412
17	412
18	6593
18	3132
19	2579
19	2039
19	6593
19	501
19	495
19	6240
19	6680
19	491
19	366
19	3488
19	6077
19	3851
19	501
19	501
19	491
19	496
19	6242
19	501
20	163
20	5908
20	2535
20	2200
20	526
20	2238
20	2761
20	6744
20	2694
20	5602
20	1942
20	5845
20	3096
20	3784
21	3090
21	5883
21	546
21	5508
21	4739
21	6513
21	5039
21	4672
21	4931
21	2133
22	5692
22	4818
22	1985
22	3748
22	3144
22	675
22	140
22	3638
22	760
22	65
22	5845
22	4744
22	5421
22	412
22	5236
22	4296
22	5369
23	12
23	1346
23	1696
23	4131
23	3399
23	79
23	3274
23	3046
23	3508
24	6571
24	1321
24	3670
24	1200
24	6595
24	4399
25	793
25	3670
25	5048
25	2698
25	793
25	793
25	3763
25	6346
25	2178
26	2178
26	3860
26	3875
26	3815
26	1539
26	5547
26	6208
26	66
26	3117
26	3118
26	739
26	6593
26	975
26	1768
27	3619
27	3322
27	1881
27	2089
27	526
27	2777
27	3582
28	2435
28	4927
28	2586
29	3563
29	2162
29	4381
29	2245
29	3350
29	1423
30	2403
30	3933
31	3676
31	6535
31	2691
31	5388
31	2691
31	3183
32	912
32	3255
32	6729
32	1268
32	1474
32	1191
33	6076
33	6076
33	6250
33	3876
33	6412
33	3876
33	4752
33	3090
33	3876
33	1711
34	2233
34	3287
34	3384
34	2080
34	2091
34	2249
34	2054
34	3286
35	1489
35	6608
35	1421
35	1559
35	1488
35	5583
35	299
35	3468
35	2580
35	5387
35	5467
36	513
36	2320
36	3309
36	2218
36	6720
36	3309
36	5893
36	4996
36	5001
36	3670
37	3134
37	1026
37	1070
37	3350
37	400
37	5199
37	5491
37	5925
37	5937
37	2304
37	2967
37	5889
37	2974
37	491
37	1369
37	1026
38	827
38	1559
38	2880
38	1837
38	6214
38	3930
38	5450
38	1974
39	6271
39	6272
39	2621
39	97
39	5720
39	6081
39	6271
39	6081
39	6119
39	291
39	4275
39	3117
40	3203
40	1539
40	1540
40	3670
40	3603
40	1539
41	24
41	1366
41	2982
41	1366
41	123
41	1366
41	3798
41	2308
41	1366
41	2855
41	2977
42	6136
42	1923
42	6593
42	540
42	2242
42	1216
42	5865
43	5633
43	3135
44	6152
44	5087
44	3120
45	71
45	835
45	423
45	2875
45	3780
45	1711
45	6593
46	62
46	793
46	5523
47	3487
47	5925
47	1365
47	2182
47	4885
47	4885
48	3276
48	3860
48	3902
49	3356
49	2245
49	5497
49	2419
49	2417
49	3812
50	526
50	3190
50	1858
51	5463
51	39
51	4097
51	1122
51	489
51	36
52	2032
52	1559
52	64
52	3238
52	1952
52	5845
52	3446
52	2435
52	1656
52	151
52	1546
53	3367
53	4502
53	5883
53	6700
53	3401
53	2101
53	5039
53	2369
53	6593
53	5881
53	2285
53	4514
54	2283
54	2289
54	6574
54	2289
54	5604
54	820
54	1808
54	5932
54	6574
54	2283
54	2285
54	2289
54	859
55	162
55	3875
55	5459
55	3875
55	3875
55	3100
55	4800
56	1421
56	2481
56	3061
56	2115
56	5818
56	1421
56	5923
56	1421
56	5818
56	3850
57	1487
57	5001
57	421
57	1336
57	4402
57	1652
57	4882
57	3670
58	5303
58	6594
58	1795
58	1251
58	4562
58	2407
58	702
58	5303
58	5459
58	3798
58	1425
58	1122
59	46
59	1271
59	3275
59	6330
59	3399
59	6328
59	2917
59	2950
59	2319
59	4074
60	2804
60	4616
60	4696
60	5098
60	1454
60	4291
61	5263
61	3716
61	5527
61	5505
61	2483
61	1339
61	5505
62	5955
62	3814
62	4113
62	4113
62	5955
62	390
62	1676
62	3850
62	1676
62	3850
63	1724
63	3099
63	5495
63	5463
63	5459
64	6598
64	5545
65	892
65	6236
65	6568
65	2005
65	1147
65	1413
65	5702
65	6236
65	1413
66	1931
66	4502
66	155
66	6727
66	4502
66	1771
66	5864
66	2012
67	4103
67	224
67	4296
67	330
67	2340
67	5383
67	4103
67	4524
68	3734
68	5087
68	816
69	3850
69	405
69	5272
69	3852
70	4996
70	2285
70	1461
70	2289
70	5224
70	2010
70	4996
70	5087
70	2323
70	3382
70	2289
71	2648
71	4212
71	4617
71	4739
71	3860
71	5491
71	2659
71	1794
71	2471
72	1528
72	4156
72	6527
72	464
72	6602
72	4763
72	6081
72	6593
72	4615
73	6682
73	1672
73	4500
73	3371
73	5925
73	6706
73	1446
73	4239
73	5902
73	4573
74	5501
74	3204
74	5426
74	5426
74	6023
75	2736
75	5821
75	6720
75	2978
75	3086
75	6593
75	2417
75	5843
75	6674
75	6412
75	1219
75	5736
76	5336
76	5096
76	4571
76	5336
76	1671
76	6192
76	2072
76	3239
76	1671
76	2093
77	3774
77	2875
77	5714
77	1541
77	5218
77	5591
77	1329
77	5218
78	6720
78	6720
78	5224
78	1404
78	898
78	5224
78	3339
78	2012
78	5527
79	5141
79	5137
79	6085
80	3291
80	6194
80	3670
80	3670
80	3875
80	3875
80	3670
80	6191
80	974
80	6191
80	6608
80	6194
81	1469
81	611
81	4117
81	2201
81	407
82	5927
82	1425
82	3875
82	5702
82	6060
83	3286
83	5067
83	4230
83	461
83	5087
83	4473
83	6125
83	3291
84	2792
84	1969
84	4623
84	5369
84	5714
84	4623
85	3287
85	6001
85	2296
85	5242
85	6720
85	36
85	264
85	6593
85	2327
85	4402
85	1299
85	5141
85	3086
85	264
85	1425
86	6640
86	5459
86	4648
86	721
86	4240
86	2242
86	3154
86	4240
86	3395
86	1541
86	6495
86	491
86	3204
86	491
86	637
86	6077
86	5555
87	5751
87	296
87	5491
87	6593
87	3860
87	4647
87	3860
87	4188
87	3860
87	3779
87	2283
88	2391
88	4238
88	1960
88	1419
88	1836
88	4396
88	4399
89	5199
89	6194
89	6194
89	3444
89	129
89	129
89	5199
89	129
89	2089
90	5722
90	3255
90	3350
90	3749
90	4965
90	721
90	4965
90	1676
90	1556
90	721
91	1985
91	162
91	5405
91	4615
91	162
91	4415
91	412
91	3857
91	5405
92	5732
92	5449
92	4160
92	5877
92	4642
92	4097
93	3305
93	1219
93	6727
93	6727
93	5463
93	2694
93	4980
93	2647
93	3399
93	6727
94	1310
94	5200
94	5608
94	4876
94	1072
95	2283
95	2736
95	2426
95	490
95	6134
95	976
95	6414
95	3780
95	669
95	5715
96	990
96	5143
96	6077
96	4616
96	6077
97	4470
97	1981
97	1985
97	526
97	1981
97	1981
97	4470
97	1895
98	6265
98	6265
98	5300
98	3850
98	6266
98	6593
99	1301
99	6593
99	5714
99	3933
99	4199
99	5714
100	230
100	4258
100	5702
100	5703
100	2756
100	5703
100	5502
100	2756
100	230
