docidx	x	y	z
0	38	-48	49
0	-25	-45	-2
1	4	-10	64
1	-6	18	4
1	-30	-16	20
1	22	12	8
1	-40	-48	-32
1	38	-50	36
1	28	14	12
1	14	0	4
1	-4	-4	52
1	-6	4	32
1	-22	14	4
1	18	34	-4
1	14	6	4
1	-28	-14	64
1	18	-4	60
1	-26	-56	-32
1	2	-62	-20
2	-5	-36	52
2	-34	-16	-1
2	-50	-17	20
2	-52	-28	61
2	-3	-29	57
2	-51	4	3
2	-2	-12	67
2	-39	-13	53
2	-37	-7	64
2	-15	-30	40
2	-6	-14	54
2	-38	-25	50
2	-37	-31	50
2	-61	-32	30
2	-47	-29	30
2	-40	-1	-1
2	-35	-13	56
2	-38	-28	50
2	-37	-25	50
2	-5	-21	52
2	-55	3	12
2	-47	-33	30
2	-35	-50	65
2	-13	-30	38
2	-28	-13	47
2	-36	-39	58
2	-6	-37	59
2	-39	-12	9
2	-52	3	-4
2	-33	-9	60
2	-3	-17	66
2	-21	-2	61
2	-62	-42	37
2	-67	-20	10
2	-7	4	52
2	-63	-26	20
2	0	1	47
2	-39	-13	53
2	-59	-30	25
2	-32	-4	55
2	-57	-3	-2
2	-44	3	12
2	-6	-40	52
2	-44	-38	33
2	-6	-21	49
2	-33	-3	60
2	-61	4	13
2	-43	-12	-3
2	-47	6	3
2	0	1	50
2	-5	-14	50
2	-2	9	49
2	-57	-34	20
2	-57	-16	-2
2	-5	-23	52
2	-35	-14	59
2	-11	-10	50
2	-4	-31	46
2	-5	14	52
2	-38	-12	67
2	-61	-25	30
2	-38	-52	59
2	-27	-62	52
2	-47	1	-2
2	-39	-2	0
2	-6	-21	51
3	32	25	24
4	-6	-50	-7
4	58	-3	4
4	9	17	-13
4	14	19	15
4	-26	19	20
4	-29	-8	4
4	17	-11	26
4	17	22	-2
4	17	11	-2
4	-3	-58	9
4	-26	-56	4
4	-14	-33	20
4	3	-31	-7
4	-43	-69	9
4	-38	-61	31
4	17	-86	15
5	34	-20	56
5	6	-4	52
5	14	-68	56
5	-2	-24	-12
5	24	-16	48
5	8	-60	-24
5	-22	-8	4
5	-18	-10	4
5	-32	-40	56
5	36	-38	44
5	-4	-8	44
5	58	6	16
5	32	-60	52
5	16	-20	64
6	-19	-83	-4
6	-4	11	53
6	-41	30	8
6	-38	-60	-15
6	-41	30	8
6	-38	15	30
6	-49	-56	-8
6	38	15	23
6	23	-86	11
6	-4	11	53
6	-45	4	30
8	-28	-68	38
8	30	-66	38
8	-2	-64	36
8	-12	-62	40
8	-26	-68	34
8	-2	-62	38
8	-4	-62	40
8	-44	24	32
8	-38	24	38
8	-4	12	52
8	6	8	48
8	-4	-62	40
8	28	-62	38
8	32	-66	26
8	-2	-70	42
8	-26	-78	38
8	-30	-72	40
8	30	-66	38
8	-26	-68	34
8	34	-64	42
8	-32	-64	42
8	-6	-70	38
8	38	36	40
8	-30	-72	40
9	-3	-74	-18
9	-34	-68	-15
9	3	-3	25
9	-43	-37	34
9	9	-90	-12
9	-25	-71	31
9	-28	-90	9
9	9	-71	-34
9	0	-43	-15
10	-21	-87	-15
10	27	-81	19
10	-33	-85	-2
10	23	-91	8
10	-21	-76	-12
10	-23	-89	8
10	-34	-51	46
10	-4	14	47
10	23	-91	8
10	-27	-73	-12
10	43	-65	-16
10	-37	-61	-17
10	-21	-87	-12
10	41	-50	-18
10	-39	-77	-12
10	23	-93	0
10	-4	3	49
10	16	-96	3
10	-39	-76	-12
10	-23	-89	8
10	-19	-93	0
10	35	-50	-18
10	-19	-93	-7
10	29	-81	19
11	53	4	4
11	48	-4	-10
11	-8	-4	65
12	-39	3	54
12	6	30	42
13	21	42	37
13	40	48	31
13	-34	54	28
13	21	42	31
13	40	42	31
13	46	-39	18
13	21	42	37
13	21	-3	43
13	18	42	31
13	-37	42	31
13	-43	36	31
13	56	-33	-6
13	34	48	28
14	-38	10	40
14	-48	17	22
14	23	-4	54
14	-26	19	11
14	-42	10	29
14	-28	52	4
14	0	4	53
14	35	41	25
14	23	-8	53
14	-29	20	-1
14	0	4	53
14	-35	42	22
14	32	28	28
14	37	40	29
14	34	30	34
14	27	29	36
14	27	25	32
14	-46	2	16
15	48	-30	-20
16	14	-82	-8
16	-42	-70	-6
16	-10	-82	-6
16	-42	-36	-16
17	12	-92	0
17	0	-2	48
17	-28	-96	-6
17	18	-52	-16
17	-26	-58	-20
17	-36	-44	34
17	14	-18	8
17	-12	-14	6
17	24	-82	-8
17	34	30	36
17	8	4	46
17	30	-52	-34
17	0	-92	8
17	10	12	38
17	12	-82	-6
17	36	-68	28
17	48	6	34
17	-42	-34	38
17	-26	-70	-14
17	-6	-92	-2
17	34	-96	-6
17	38	38	34
18	31	-77	-20
18	-7	-63	60
18	-35	27	30
18	17	-99	-8
18	6	-49	8
18	17	-99	-8
18	38	-5	30
18	31	-77	-20
18	6	-49	10
18	8	-95	10
18	-25	-55	50
18	-23	-59	56
18	-45	-71	12
18	6	-49	10
18	28	-75	30
18	41	-75	4
18	-23	-85	10
19	19	-67	51
20	-64	-36	20
21	-32	40	28
21	-4	12	52
21	36	-60	52
21	44	-40	32
22	24	34	5
24	30	-81	-15
24	48	-63	3
24	-36	-87	-6
25	-4	-60	60
25	32	0	56
25	-32	4	52
26	14	-92	2
26	62	-18	10
26	32	-72	-20
